game,score,mean_reward,eps,time,loss
283,2,-68,0.0,41,72.7096465882801
284,3,-71,0.0,43,68.48158489574085
285,5,17,0.0,143,72.53424790170457
286,3,-49,0.0,103,77.73614369905911
287,0,-106,0.0,31,70.01618766784668
288,5,-20,0.0,138,72.5574357835509
289,2,-42,0.0,55,69.0553173337664
290,3,-63,0.0,147,68.76129609185296
291,0,-117,0.0,18,64.06589969835784
292,4,-29,0.0,62,69.44268847268725
293,1,-97,0.0,55,70.08898142405918
294,5,-17,0.0,235,70.15727817406089
295,1,-87,0.0,45,66.00118230736774
296,5,-15,0.0,61,66.51591153298655
297,4,-23,0.0,62,66.88613092331659
298,9,69,0.0,111,68.1691449710301
299,6,41,0.0,172,65.19233946166287
300,5,-2,0.0,114,62.97245695694633
301,5,18,0.0,108,68.16764544565743
302,7,9,0.0,81,66.89404315483279
303,6,45,0.0,138,64.95020682520146
304,4,-5,0.0,288,64.91405623676867
305,4,-39,0.0,48,62.20071317711655
306,8,92,0.0,165,66.41087965218418
307,4,-18,0.0,93,62.0553511558695
308,8,105,0.0,182,63.80492701295947
309,5,-15,0.0,57,63.51747328659584
310,5,-4,0.0,128,61.629558371018994
311,4,-32,0.0,65,60.68472891142874
312,5,-2,0.0,94,60.52393740603798
313,5,0,0.0,84,60.7021245171042
314,13,185,0.0,241,60.2196612003421
315,8,56,0.0,161,58.19102506873048
316,1,-92,0.0,16,57.34426419875201
317,4,13,0.0,92,59.272071182086904
318,3,-73,0.0,55,60.49365047046116
319,10,90,0.0,173,59.34562523063572
320,0,-103,0.0,4,50.327388763427734
321,8,71,0.0,216,60.5585154256513
322,14,195,0.0,250,58.632213280970355
323,4,-2,0.0,91,56.123121054276176
324,0,-107,0.0,8,49.09088389078776
325,9,103,0.0,161,57.66318482528498
326,6,25,0.0,122,56.48448463377914
327,5,9,0.0,113,57.324310202347604
328,9,84,0.0,154,55.564455278458134
329,3,-57,0.0,111,56.98145609242575
330,9,73,0.0,139,56.515223680223734
331,6,37,0.0,138,55.68732729575617
332,7,34,0.0,96,55.79129879745012
333,4,12,0.0,97,54.50187924443459
334,8,72,0.0,131,53.85988355405403
335,4,-24,0.0,107,56.39251530611956
336,8,56,0.0,129,53.46899642944336
337,5,-12,0.0,78,53.11156794391101
338,5,20,0.0,104,54.712017386300225
339,2,-53,0.0,58,51.22773962505793
340,10,79,0.0,142,51.777926011519
341,6,11,0.0,104,55.329524230957034
342,4,4,0.0,83,57.043564251491
343,9,79,0.0,147,55.02927885828792
344,0,-116,0.0,17,52.14337338341607
345,3,-50,0.0,50,55.310139001584524
346,7,66,0.0,132,50.27514248324516
347,12,134,0.0,221,51.72223052463016
348,5,25,0.0,107,49.22618655805235
349,0,-111,0.0,38,52.87762759282039
350,2,-50,0.0,45,51.39003061211628
351,1,-64,0.0,34,50.01177964891706
352,6,45,0.0,178,51.097937866296185
353,0,-91,0.0,22,45.81110199638035
354,6,21,0.0,110,50.60795730728287
355,10,82,0.0,199,52.21757418632507
356,0,-113,0.0,14,42.91315320332845
357,7,30,0.0,104,50.244456055050804
358,6,24,0.0,117,49.13368499885171
359,7,45,0.0,123,47.367831383982015
360,5,-2,0.0,96,51.40791037647995
361,8,42,0.0,113,47.81083699276573
362,7,53,0.0,131,51.54119383205067
363,13,142,0.0,194,51.093129725333974
364,4,-24,0.0,53,48.19916382542363
365,1,-89,0.0,9,46.2669075012207
366,1,-95,0.0,19,44.130642127990725
367,1,-84,0.0,30,47.206733765140655
368,0,-106,0.0,7,35.39054346084595
369,10,157,0.0,224,49.976064643859864
370,5,36,0.0,128,48.781282447105234
371,6,42,0.0,109,48.80737800598145
372,7,36,0.0,146,48.425715388083944
373,9,59,0.0,115,48.397581010029235
374,10,122,0.0,225,47.00314900305419
375,5,-2,0.0,78,47.72841692574416
376,6,21,0.0,100,46.293878309797535
377,1,-88,0.0,16,47.018745983348175
378,6,29,0.0,108,44.90881995979799
379,10,57,0.0,104,50.19417330423991
380,8,82,0.0,151,47.4928873902873
381,8,47,0.0,110,43.47181949959145
382,0,-102,0.0,11,40.7126784324646
383,8,82,0.0,149,45.46216419855754
384,7,36,0.0,124,43.83221653747559
385,4,-23,0.0,66,48.62117163814715
386,5,-40,0.0,40,51.578796898446434
387,4,0,0.0,95,48.670661240816116
388,2,-54,0.0,51,47.01917971097506
389,0,-101,0.0,2,40.502480824788414
390,8,58,0.0,119,46.28191024462382
391,7,72,0.0,144,48.52006195331442
392,7,39,0.0,133,45.68829861683632
393,5,10,0.0,110,46.920781350350595
394,5,33,0.0,135,47.01537634344662
395,4,-15,0.0,104,45.102339608328684
396,0,-100,0.0,1,36.56732940673828
397,3,-42,0.0,42,45.14595160373422
398,4,-21,0.0,62,46.70976236131456
399,11,109,0.0,167,44.44638014975048
400,8,68,0.0,131,47.12793026548444
401,5,-18,0.0,52,45.73752313290002
402,4,-21,0.0,70,45.25240258767571
403,4,-42,0.0,65,43.78245801636667
404,9,82,0.0,152,46.05958101484511
405,6,12,0.0,113,46.27814520451061
406,7,27,0.0,95,47.61881613731384
407,5,-16,0.0,52,42.63614053546258
408,4,-6,0.0,81,43.349263982075016
