State,right,left,up,down
41.0,-58.15492841080171,-54.35085601215216,-41.86911760702952,43.06890605918368
42.0,-31.383789302836718,-27.1,-19.0,7.650993763434579
43.0,-27.1,-34.39,-36.747809728686036,14.321940363564835
44.0,-62.098740747420464,-85.2362525682118,-40.04501108231971,6.736236100587268
45.0,-65.13215599,-75.68932641301805,-81.85962517264758,19.22349297786026
46.0,-82.11281260593637,-81.62843243919609,-1.2317471586788755,26.56880700285284
47.0,-83.32281830033344,-76.0321482418189,2.4971694592266367,29.154340184398755
48.0,12.312982561106756,19.83505950585191,-27.1,-44.179010118920964
49.0,17.924042254380183,32.33931688228307,-77.123207545039,-77.123207545039
50.0,55.73374172325384,21.051860646247803,-87.84233454094309,-87.84233454094309
51.0,16.85255464076975,66.9081021835841,-77.123207545039,-87.84233454094309
52.0,23.259651079759585,44.45124236589202,-81.4697981114816,-60.718745724417346
53.0,11.232716775401762,18.989512268574874,-84.99053647030009,-87.84233454094309
54.0,9.837096026182195,34.97853454267571,-61.25795110000001,-52.17031
55.0,21.115848464228662,-0.5865336584095058,-48.01421377897816,-56.953279
56.0,9.435454740820866,17.614388169611196,-56.486629194798326,20.12887180087392
57.0,-57.030954317062225,38.9426881078409,-12.604276157843321,51.69036375804415
58.0,-61.100822474706575,13.566711522939645,8.835697546668957,17.004227878538426
59.0,-15.437881606890025,69.75902154303944,-19.05352712025933,41.378605297229534
60.0,19.357146303916554,50.28215019658174,-57.818473467993385,17.61254454546488
61.0,-7.334850651511178,22.073209279869925,-13.334344922152034,8.378401222872128
62.0,-81.99609928588204,43.12999803659563,13.298775082875895,61.48038090575404
63.0,-59.348370906793654,25.906214826029604,23.953920836186175,39.87770588358465
64.0,22.744923195034918,6.792035662641123,-41.6026308727663,22.02249697297873
65.0,37.498467660804096,-44.22190643481948,-15.495915860668516,50.181967723825395
66.0,64.50275962249323,-34.251970563012364,-15.919975445337935,44.344223350656726
67.0,23.251762435429832,-61.39438622885833,10.944811889922896,20.618489733781978
68.0,24.342360001629526,-59.9588233505982,-35.50709114526371,19.24294571595827
69.0,44.62088284171787,25.825173730508027,-77.67837194356005,28.988635181128206
70.0,41.00009467176461,-63.534816078698114,-15.217149955352216,52.13379953670113
71.0,48.235872741363934,-59.644677933151314,31.953184176158967,53.1538246943465
72.0,-71.24932725192781,48.4336191453764,61.42435240667787,31.457667739715944
73.0,-3.77445065846073,31.374640452204243,30.54852677462766,-29.30741586469601
74.0,-41.0211475715432,14.024071913078096,15.327280739270272,11.94238359609897
75.0,41.51900466122322,66.19601567373988,46.60833973302807,-92.2544063152944
76.0,-31.012520259028157,55.9073044486193,52.496389196261404,-4.374296633629042
77.0,-42.89100621668605,31.275180213292913,44.31041182565762,-2.069059882952112
78.0,25.289004411178695,52.88197173372379,30.86694812523892,-73.17440209076243
79.0,-30.182882121548428,19.550380653009626,12.341053634553948,-14.418565805275106
80.0,45.83267181154227,18.25972898192397,61.92365837710211,-46.89897811197822
81.0,33.7650012916299,10.45308593973668,33.03325630936983,-56.546841328644284
82.0,64.77248990484794,38.75692353479,44.39718586254243,-91.72158449203312
83.0,16.966183233868698,-52.17031,24.240596608789915,8.278024681599579
84.0,37.085199679687975,-79.69056959508329,47.05367448582109,27.766943518077802
85.0,42.08899168131457,11.347572388766995,58.47075336061651,-37.39297197134272
86.0,20.102367095825823,-46.53814054816679,33.16072644621714,-33.231726562849104
87.0,44.464538647865304,19.78240653058556,30.39307276829159,-73.0102531179034
