State,right,left,up,down
64.0,24.84569814624475,0.0,0.0,-1.0421024168213353
65.0,0.0,0.0,-19.0,86.39824370196686
66.0,100.65730534624073,0.0,7.000675091492307,3.005548759918506
67.0,-0.7041895659109207,-19.0,29.099649304727038,0.0
68.0,-1.5070557836327718,5.070354725440083,-10.0,34.28233621451598
69.0,15.311918200995734,-19.0,4.946903853807717,29.311938393009058
70.0,25.347783500365853,0.0,0.0,12.022437175938597
71.0,25.55713374430704,-11.758459987028274,-2.3702742172188667,87.85809723837761
72.0,-10.9,67.56741848683859,10.701690927530887,-10.0
73.0,-19.9589928684241,-0.6979218379996245,69.8246937809039,-2.025883035874936
74.0,-0.8216949921263916,-0.9122672088850452,41.75309975483814,-0.35957811031070475
75.0,0.0,108.9334159231752,2.2223584830500767,0.0
76.0,-38.8369,10.879817548871426,94.69880816370673,-2.643643502008813
77.0,1.1982190212664423,6.972758591289691,80.2238734814779,0.28345213578446504
78.0,1.5070789845951706,93.52969646413989,18.296485143574365,-6.136140365344888
79.0,6.744957581381161,45.79846802735805,6.395869279583717,-1.7344215029880488
80.0,-0.7554096777949904,-18.425321158391817,99.31161948665115,6.256762187948496
81.0,5.238075663946733,7.57200795289792,75.96829201725504,-1.0
82.0,103.65376437009373,2.465272329582381,9.802395765526512,-1.0
83.0,-1.0,-1.0,34.05946246364152,0.0
84.0,7.075128994921522,-1.0,86.37949865999936,-33.405286009726574
85.0,19.456122373563602,-1.0604847597163989,99.28277103169702,-18.858543809035808
86.0,43.292741694622265,0.42704559058981584,0.0,0.0
87.0,92.2092941492346,-26.79664780441553,17.338244057356526,4.080012250725522
88.0,-10.0,-10.0,69.89628354811916,0.0
89.0,-10.0,-10.0,3.6624104021646886,68.33492002589142
90.0,-10.0,-10.0,10.24977308899319,-1.0
91.0,-10.0,-10.0,28.32186576356813,-1.9
92.0,-27.1,-10.0,-1.7031718206094488,30.06624752919511
93.0,-10.0,-10.0,70.5357103046403,0.0
94.0,-19.0,-10.0,0.0,62.22092206740668
95.0,-27.1,-27.1,5.278332186191804,73.8345808810746
96.0,7.859580485647878,47.964958073816646,4.6099660351205225,1.5085891718752813
97.0,39.427301910444406,57.346460460891265,22.86829846383939,90.06487498330992
98.0,110.05863427661144,8.809658457057903,34.13971234224314,14.523367209255605
99.0,-0.8145448960169037,108.2311182287621,-0.9217841291909702,23.80817316168129
100.0,49.30966435384059,79.30175157169944,50.02385665486816,49.49277218886759
101.0,45.96483280463107,49.5287509287447,44.72671551663041,45.820219284506535
102.0,46.73209197852586,88.45179014492463,43.849599731094024,66.41309598623916
103.0,89.22288048037584,64.99910167407957,48.856116591140136,78.43623358397642
104.0,32.949679275903506,28.94668581676178,100.21343959490646,76.30047268531789
105.0,30.82076002996562,59.894505060206,37.6450378495376,44.9974373038795
106.0,102.30392130704996,10.475146714798367,23.686239513138837,15.766597317267866
107.0,0.2592591801715619,109.19287805479435,18.275093804262443,-1.7933012464698326
108.0,67.67551114433019,100.76194349730339,83.84195444113395,33.83033583375291
109.0,96.61478603055022,70.94507368924758,73.58943295724015,51.263917420378476
110.0,30.348652085663037,77.9527359243125,42.024307091706255,50.51984089963234
111.0,84.72712960580245,54.614051256482064,54.47973252766872,44.606842465085904
112.0,8.272877896553853,-0.22449917010122,95.56679360230872,11.672696021118592
113.0,27.72923646822384,34.418430471166374,34.70542278707907,68.42112964519686
114.0,0.6173865968337253,3.0048499463878633,55.9843043787294,5.956249842677519
115.0,59.42369596005269,107.50803910213298,37.18596655336172,50.88722300242472
116.0,61.90422538236608,75.4277577501269,100.55068169312366,73.93941731852497
117.0,49.175911048547526,45.078171529362706,79.42968047638787,54.41709034199597
118.0,34.296607489987984,57.86176968365729,57.52923208640297,94.90248775675585
119.0,56.18649311435369,56.536353796026994,62.769324038984266,56.45939461807121
120.0,16.8879073911691,22.07468018304716,103.19711930571086,6.3433841467211165
121.0,35.281518557103574,43.91516101492502,30.095458100369072,76.7104007785964
122.0,112.605216847404,37.85567138681521,37.99650292151182,35.607487268584315
123.0,-1.6845893889968548,-1.0527297607953623,27.054980057088382,15.746938630703239
124.0,46.99205696105183,52.74352221552471,53.623187026546,46.11201983967808
125.0,48.67290987974349,35.537142225126466,99.19477274550546,64.3195055870332
126.0,37.306433778947564,43.62684578444203,43.52403184927747,63.14862170303445
127.0,66.57263518474943,65.3167043192054,61.01414774878798,93.78925217649558
